sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
May2016.275por	28.5366871	0.031250527	G	275	POR	C	control	T2	T2_C	T2_C_POR	POR_C_T6	POR_275	704	0	0
July2016.por275	27.05674516	0.02117185	G	275	POR	C	control	T3	T3_C	T3_C_POR	POR_C_T9	POR_275	570	0	0
Jan2017.por275	29.10646774	0.064776697	G	275	POR	C	control	T6	T6_C	T6_C_POR	POR_C_T12	POR_275	246	0	0
March2016.por276	29.26056129	0.094100803	H	276	POR	C	control	T1	T1_C	T1_C_POR	POR_C_T3	POR_276	4276	0	0
May2016.276por	28.5366871	0.031250527	H	276	POR	C	control	T2	T2_C	T2_C_POR	POR_C_T6	POR_276	2315	0	0
July2016.por276	27.05674516	0.02117185	H	276	POR	C	control	T3	T3_C	T3_C_POR	POR_C_T9	POR_276	829	0	0
Jan2017.por276	29.10646774	0.064776697	H	276	POR	C	control	T6	T6_C	T6_C_POR	POR_C_T12	POR_276	1646	0	0
March2016.por280	29.26056129	0.094100803	I	280	POR	C	control	T1	T1_C	T1_C_POR	POR_C_T3	POR_280	840	0	0
May2016.280por	28.5366871	0.031250527	I	280	POR	C	control	T2	T2_C	T2_C_POR	POR_C_T6	POR_280	1995	0	0
July2016.por280	27.05674516	0.02117185	I	280	POR	C	control	T3	T3_C	T3_C_POR	POR_C_T9	POR_280	237	0	0
Jan2017.por280	29.10646774	0.064776697	I	280	POR	C	control	T6	T6_C	T6_C_POR	POR_C_T12	POR_280	1196	0	0
March2016.por291	29.26056129	0.094100803	T	291	POR	C	control	T1	T1_C	T1_C_POR	POR_C_T3	POR_291	2486	0	0
May2016.291por	28.5366871	0.031250527	T	291	POR	C	control	T2	T2_C	T2_C_POR	POR_C_T6	POR_291	772	0	0
July2016.por291	27.05674516	0.02117185	T	291	POR	C	control	T3	T3_C	T3_C_POR	POR_C_T9	POR_291	933	0	0
Jan2017.por291	29.10646774	0.064776697	T	291	POR	C	control	T6	T6_C	T6_C_POR	POR_C_T12	POR_291	809	0	0
March2016.poc294	29.26056129	0.094100803	E	294	POC	N	nutrient	T1	T1_N	T1_N_POC	POC_N_T3	POC_294	8342	0	0
March2016.por294	29.26056129	0.094100803	E	294	POR	N	nutrient	T1	T1_N	T1_N_POR	POR_N_T3	POR_294	5060	0	0
May2016.294por	28.5366871	0.031250527	E	294	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T6	POC_294	307	1	4
May2016.294poc	28.5366871	0.031250527	E	294	POR	N	nutrient	T2	T2_N	T2_N_POR	POR_N_T6	POR_294	3187	0	0
July2016.294.1	27.05674516	0.02117185	E	294	NA	N	nutrient	T3	T3_N	T3_N_NA	NA_N_T9	NA_294	211	1	10
July2016.294.2	27.05674516	0.02117185	E	294	NA	N	nutrient	T3	T3_N	T3_N_NA	NA_N_T9	NA_294	664	0	0
Jan2017.por294	29.10646774	0.064776697	E	294	POC	N	nutrient	T6	T6_N	T6_N_POC	POC_N_T12	POC_294	613	0	0
Jan2017.294	29.10646774	0.064776697	E	294	POR	N	nutrient	T6	T6_N	T6_N_POR	POR_N_T12	POR_294	3652	0	0
negative	NA	NA	NA	NA	NA	NA	NA	NA	NA_NA	NA_NA_NA	NA	NA_	852	NA	NA
positive	NA	NA	NA	NA	NA	NA	NA	NA	NA_NA	NA_NA_NA	NA	NA_	16702	NA	NA
