sample-id	mmm.m	mmm.sd	plot	tag	species	treatment	nutrient	time	time.trt	time.trt.sp	combo	indiv	seq_depth	bleaching	per_bleach
May2016.125poc	28.5366871	0.031250527	1	125	POC	N	nutrient	T2	T2_N	T2_N_POC	POC_N_T6	POC_125	57	1	12
July2016.poc125	27.05674516	0.02117185	1	125	POC	N	nutrient	T3	T3_N	T3_N_POC	POC_N_T9	POC_125	5623	0	0
Jan2017.poc125	29.10646774	0.064776697	1	125	POC	N	nutrient	T6	T6_N	T6_N_POC	POC_N_T12	POC_125	3407	0	0
Jan2016.acr127	28.70592	0.037590634	2	127	ACR	C	control	T0	T0_C	T0_C_ACR	ACR_N_T0	ACR_127	547	0	0
March2016.acr127	29.26056129	0.094100803	2	127	ACR	N	nutrient	T1	T1_N	T1_N_ACR	ACR_N_T3	ACR_127	4601	0	0
May2016.127acr	28.5366871	0.031250527	2	127	ACR	N	nutrient	T2	T2_N	T2_N_ACR	ACR_N_T6	ACR_127	1192	0	0
July2016.acr127	27.05674516	0.02117185	2	127	ACR	N	nutrient	T3	T3_N	T3_N_ACR	ACR_N_T9	ACR_127	2143	0	0
Jan2017.acr127	29.10646774	0.064776697	2	127	ACR	N	nutrient	T6	T6_N	T6_N_ACR	ACR_N_T12	ACR_127	2254	0	0
Jan2016.poc128	28.70592	0.037590634	2	128	POC	C	control	T0	T0_C	T0_C_POC	POC_U_T0	POC_128	404	0	0
March2016.poc128	29.26056129	0.094100803	2	128	POC	U	nutrient	T1	T1_U	T1_U_POC	POC_U_T3	POC_128	189	0	0
May2016.128poc	28.5366871	0.031250527	2	128	POC	U	nutrient	T2	T2_U	T2_U_POC	POC_U_T6	POC_128	276	1	10
